DistrictID	SubDistrict	CityName	SegmentHndl	StreettHndl	PreDir	StreetName	StreetType	PostDir	SideCode	HouseNumPrefix	HouseNumLo	HouseNumHi	HouseNumSuffix	UnitNumLo	UnitNumHi	AlphaSplitLo	AlphaSplitHi	StateCode	CountyCode	Zip	MailAddrReqd	AptNumReqd	AddrTypeDesc	MapNumber	Parcel	Latitude	Longitude	CensusTractDistName	PrecinctID	PrecinctPortion	ActiveVoterCount
*0	0	San Francisco	77632	417		Erie	St		O		1	99				A	Z	CA	38	94103	0	0	Valid Residence						7902		0
*0	0	San Francisco	77633	417		Erie	St		E		2	98				A	Z	CA	38	94103	0	0	Valid Residence						7902		0
*0	0	San Francisco	77634	1948		Florida	St		O		7	99				A	Z	CA	38	94103	0	0	Valid Residence						7902		0
*0	0	San Francisco	77635	1948		Florida	St		E		8	98				A	Z	CA	38	94103	0	0	Valid Residence						7902		0
*0	0	San Francisco	77636	1948		Florida	St		E		100	220				A	Z	CA	38	94103	0	0	Valid Residence						7902		0
*0	0	San Francisco	77637	1948		Florida	St		O		101	199				A	Z	CA	38	94103	0	0	Valid Residence						7902		0
*0	0	San Francisco	77638	1948		Florida	St		O		201	299				A	Z	CA	38	94103	0	0	Valid Residence						7902		0
*0	0	San Francisco	77639	1948		Florida	St		E		222	298				A	Z	CA	38	94103	0	0	Valid Residence						7902		1
*0	0	San Francisco	77640	606		Folsom	St		E		1400	1448				A	Z	CA	38	94103	0	0	Valid Residence						7628		1
*0	0	San Francisco	77641	606		Folsom	St		O		1401	1445				A	Z	CA	38	94103	0	0	Valid Residence						7628		2
*0	0	San Francisco	77642	606		Folsom	St		O		1447	1499				A	Z	CA	38	94103	0	0	Valid Residence						7628		0
*0	0	San Francisco	77643	606		Folsom	St		E		1450	1498				A	Z	CA	38	94103	0	0	Valid Residence						7628		13
*0	0	San Francisco	77644	606		Folsom	St		E		1500	1548				A	Z	CA	38	94103	0	0	Valid Residence						7628		1
*0	0	San Francisco	77645	606		Folsom	St		O		1501	1537				A	Z	CA	38	94103	0	0	Valid Residence						7628		0
*0	0	San Francisco	77646	606		Folsom	St		O		1539	1599				A	Z	CA	38	94103	0	0	Valid Residence						7628		2
*0	0	San Francisco	77647	606		Folsom	St		E		1550	1598				A	Z	CA	38	94103	0	0	Valid Residence						7628		13
*0	0	San Francisco	77648	606		Folsom	St		E		1600	1698				A	Z	CA	38	94103	0	0	Valid Residence						7628		13
*0	0	San Francisco	77649	606		Folsom	St		O		1601	1699				A	Z	CA	38	94103	0	0	Valid Residence						7628		45
*0	0	San Francisco	77650	606		Folsom	St		E		1700	1702				A	Z	CA	38	94103	0	0	Valid Residence						7628		0
*0	0	San Francisco	77651	606		Folsom	St		O		1701	1749				A	Z	CA	38	94103	0	0	Valid Residence						7902		8
*0	0	San Francisco	77652	606		Folsom	St		E		1718	1798				A	Z	CA	38	94103	0	0	Valid Residence						7902		1
*0	0	San Francisco	77653	606		Folsom	St		O		1751	1799				A	Z	CA	38	94103	0	0	Valid Residence						7902		2
*0	0	San Francisco	77654	606		Folsom	St		E		1800	1898				A	Z	CA	38	94103	0	0	Valid Residence						7902		0
*0	0	San Francisco	77655	606		Folsom	St		O		1801	1899				A	Z	CA	38	94103	0	0	Valid Residence						7902		6
*0	0	San Francisco	77656	606		Folsom	St		E		1900	1998				A	Z	CA	38	94103	0	0	Valid Residence						7902		41
*0	0	San Francisco	77657	606		Folsom	St		O		1901	1999				A	Z	CA	38	94103	0	0	Valid Residence						7902		0
*0	0	San Francisco	77658	606		Folsom	St		O		2001	2035				A	Z	CA	38	94110	0	0	Valid Residence						7905		10
*0	0	San Francisco	77659	606		Folsom	St		O		2037	2099				A	Z	CA	38	94110	0	0	Valid Residence						7905		1
*0	0	San Francisco	77660	1156		Hampshire	St		E		100	148				A	Z	CA	38	94103	0	0	Valid Residence						7001		0
*0	0	San Francisco	77661	1156		Hampshire	St		O		101	189				A	Z	CA	38	94103	0	0	Valid Residence						7001		9
*0	0	San Francisco	77662	1156		Hampshire	St		E		150	198				A	Z	CA	38	94103	0	0	Valid Residence						7001		0
*0	0	San Francisco	77663	1156		Hampshire	St		O		191	199				A	Z	CA	38	94103	0	0	Valid Residence						7001		2
*0	0	San Francisco	77664	2193		Harrison	St		E		1400	1498				A	Z	CA	38	94103	0	0	Valid Residence						7628		16
*0	0	San Francisco	77665	2193		Harrison	St		E		1500	1530				A	Z	CA	38	94103	0	0	Valid Residence						7628		0
*0	0	San Francisco	77666	2193		Harrison	St		O		1501	1599				A	Z	CA	38	94103	0	0	Valid Residence						7628		0
*0	0	San Francisco	77667	2193		Harrison	St		E		1532	1598				A	Z	CA	38	94103	0	0	Valid Residence						7628		0
*0	0	San Francisco	77668	2193		Harrison	St		E		1600	1698				A	Z	CA	38	94103	0	0	Valid Residence						7628		0
*0	0	San Francisco	77669	2193		Harrison	St		O		1601	1699				A	Z	CA	38	94103	0	0	Valid Residence						7628		0
*0	0	San Francisco	77670	2193		Harrison	St		E		1700	1798				A	Z	CA	38	94103	0	0	Valid Residence						7902		0
*0	0	San Francisco	77671	2193		Harrison	St		O		1701	1799				A	Z	CA	38	94103	0	0	Valid Residence						7902		0
*0	0	San Francisco	77672	2193		Harrison	St		E		1800	1828				A	Z	CA	38	94103	0	0	Valid Residence						7902		0
*0	0	San Francisco	77673	2193		Harrison	St		O		1801	1847				A	Z	CA	38	94103	0	0	Valid Residence						7902		0
*0	0	San Francisco	77674	2193		Harrison	St		E		1830	1898				A	Z	CA	38	94103	0	0	Valid Residence						7902		0
*0	0	San Francisco	77675	2193		Harrison	St		O		1849	1899				A	Z	CA	38	94103	0	0	Valid Residence						7902		1
*0	0	San Francisco	77676	2193		Harrison	St		E		1900	1938				A	Z	CA	38	94103	0	0	Valid Residence						7902		0
*0	0	San Francisco	77677	2193		Harrison	St		O		1901	1921				A	Z	CA	38	94103	0	0	Valid Residence						7902		0
*0	0	San Francisco	77678	2193		Harrison	St		O		1925	1999				A	Z	CA	38	94103	0	0	Valid Residence						7902		0
*0	0	San Francisco	77679	2193		Harrison	St		E		1940	1998				A	Z	CA	38	94103	0	0	Valid Residence						7902		2
*0	0	San Francisco	77680	2193		Harrison	St		E		2000	2048				A	Z	CA	38	94110	0	0	Valid Residence						7905		0
*0	0	San Francisco	77682	1033		Howard	St		O		1401	1499				A	Z	CA	38	94103	0	0	Valid Residence						7628		5
*0	0	San Francisco	77683	1033		Howard	St		O		1501	1549				A	Z	CA	38	94103	0	0	Valid Residence						7628		3
*0	0	San Francisco	77684	1033		Howard	St		O		1551	1599				A	Z	CA	38	94103	0	0	Valid Residence						7628		2
