1101	11	Outer Mission
1102	11	Outer Mission
1103	11	Outer Mission
1104	11	Outer Mission
1105	11	Outer Mission
1106	11	Oceanview/Merced/Ingleside
1107	11	Oceanview/Merced/Ingleside
1108	11	Oceanview/Merced/Ingleside
1109	11	Oceanview/Merced/Ingleside
1110	11	Oceanview/Merced/Ingleside
1111	11	Oceanview/Merced/Ingleside
1112	11	Oceanview/Merced/Ingleside
1113	11	Outer Mission
1114	11	Outer Mission
1115	11	Oceanview/Merced/Ingleside
1116	11	Oceanview/Merced/Ingleside
1117	11	Oceanview/Merced/Ingleside
1118	11	Oceanview/Merced/Ingleside
1119	11	Oceanview/Merced/Ingleside
1121	11	Outer Mission
1122	11	Outer Mission
1123	11	Oceanview/Merced/Ingleside
1124	11	Oceanview/Merced/Ingleside
1125	11	Outer Mission
1126	11	Outer Mission
1127	11	Outer Mission
1128	11	Outer Mission
1129	11	Excelsior
1131	11	Excelsior
1132	11	Excelsior
1133	11	Excelsior
1134	11	Excelsior
1135	11	Excelsior
1136	11	Excelsior
1141	11	Excelsior
1142	11	Excelsior
1143	11	Excelsior
1144	11	Excelsior
1145	11	Excelsior
1146	11	Excelsior
1147	11	Excelsior
1148	11	Excelsior
1149	11	Excelsior
1151	11	Excelsior
1152	11	Excelsior
1153	11	Excelsior
1154	11	Excelsior
7001	10	Mission
7002	10	Mission Bay
7003	10	Potrero Hill
7004	10	Potrero Hill
7005	10	Potrero Hill
7006	10	Potrero Hill
7007	10	Potrero Hill
7008	10	Potrero Hill
7009	10	Potrero Hill
7011	10	Potrero Hill
7012	10	Potrero Hill
7013	10	Potrero Hill
7014	10	Potrero Hill
7015	10	Bayview Hunters Point
7016	10	Bayview Hunters Point
7017	10	Bayview Hunters Point
7018	10	Bayview Hunters Point
7019	10	Bayview Hunters Point
7021	10	Bayview Hunters Point
7022	10	Bayview Hunters Point
7023	10	Bayview Hunters Point
7024	10	Bayview Hunters Point
7025	10	Bayview Hunters Point
7026	10	Bayview Hunters Point
7027	10	Bayview Hunters Point
7028	10	Bayview Hunters Point
7029	10	Bayview Hunters Point
7030	10	Bayview Hunters Point
7031	10	Bayview Hunters Point
7032	10	Bayview Hunters Point
7033	10	Bayview Hunters Point
7034	10	Bayview Hunters Point
7035	10	Bayview Hunters Point
7036	10	Visitacion Valley
7037	10	Visitacion Valley
7038	10	Visitacion Valley
7039	10	Visitacion Valley
7041	10	Portola
7042	10	Portola
7043	10	Bayview Hunters Point
7044	10	Bayview Hunters Point
7045	10	Visitacion Valley
7046	10	Visitacion Valley
7047	10	Visitacion Valley
7048	10	Visitacion Valley
7049	10	Visitacion Valley
7051	10	Visitacion Valley
7052	10	Bayview Hunters Point
7053	10	Bayview Hunters Point
7054	10	Bayview Hunters Point
7101	1	Lone Mountain/USF
7201	2	Russian Hill
7202	2	Russian Hill
7203	2	Russian Hill
7204	2	Russian Hill
7205	2	Russian Hill
7206	2	Pacific Heights
7207	2	Western Addition
7208	2	Western Addition
7209	2	Western Addition
7301	3	North Beach
7302	3	North Beach
7303	3	Russian Hill
7304	3	North Beach
7305	3	North Beach
7306	3	Russian Hill
7307	3	North Beach
7308	3	North Beach
7309	3	Russian Hill
7311	3	Russian Hill
7312	3	Nob Hill
7313	3	Nob Hill
7314	3	Chinatown
7315	3	North Beach
7316	3	North Beach
7317	3	North Beach
7318	3	Russian Hill
7319	3	Russian Hill
7321	3	Nob Hill
7322	3	Chinatown
7323	3	Russian Hill
7324	3	Russian Hill
7325	3	Nob Hill
7326	3	Nob Hill
7327	3	Chinatown
7328	3	Chinatown
7329	3	Financial District/South Beach
7331	3	Financial District/South Beach
7332	3	Nob Hill
7333	3	Nob Hill
7334	3	Nob Hill
7335	3	Nob Hill
7336	3	Nob Hill
7337	3	Nob Hill
7338	3	Chinatown
7339	3	Nob Hill
7341	3	Nob Hill
7342	3	Nob Hill
7343	3	Nob Hill
7344	3	Nob Hill
7345	3	Nob Hill
7346	3	Nob Hill
7347	3	Tenderloin
7348	3	Nob Hill
7349	3	Financial District/South Beach
7501	5	Pacific Heights
7502	5	Pacific Heights
7503	5	Pacific Heights
7504	5	Japantown
7505	5	Japantown
7506	5	Western Addition
7507	5	Western Addition
7508	5	Western Addition
7509	5	Western Addition
7511	5	Western Addition
7512	5	Western Addition
7513	5	Western Addition
7514	5	Western Addition
7515	5	Hayes Valley
7516	5	Hayes Valley
7517	5	Lone Mountain/USF
7518	5	Lone Mountain/USF
7519	5	Lone Mountain/USF
7521	5	Lone Mountain/USF
7522	5	Hayes Valley
7523	5	Hayes Valley
7524	5	Hayes Valley
7525	5	Hayes Valley
7526	5	Hayes Valley
7527	5	Haight Ashbury
7528	5	Hayes Valley
7529	5	Hayes Valley
7531	5	Hayes Valley
7532	5	Hayes Valley
7533	5	Haight Ashbury
7534	5	Haight Ashbury
7535	5	Haight Ashbury
7536	5	Haight Ashbury
7537	5	Haight Ashbury
7538	5	Haight Ashbury
7539	5	Haight Ashbury
7541	5	Hayes Valley
7542	5	Hayes Valley
7543	5	Hayes Valley
7544	5	Hayes Valley
7545	5	Hayes Valley
7546	5	Haight Ashbury
7547	5	Haight Ashbury
7548	5	Haight Ashbury
7549	5	Inner Sunset
7551	5	Haight Ashbury
7552	5	Haight Ashbury
7553	5	Inner Sunset
7554	5	Inner Sunset
7555	5	Haight Ashbury
7556	5	Inner Sunset
7557	5	Inner Sunset
7601	6	Tenderloin
7602	6	Tenderloin
7603	6	Tenderloin
7604	6	Tenderloin
7605	6	Tenderloin
7606	6	Tenderloin
